cnpj,identificador_matriz_filial,razao_social,nome_fantasia,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nome_cidade_exterior,codigo_pais,nome_pais,natureza_juridica,data_inicio_atividade,cnae,descricao_tipo_logradouro,logradouro,numero,complemento,bairro,cep,uf,codigo_municipio,municipio_import,ddd1,ddd2,ddd_fax,email,qualificacao_do_responsavel,capital_social,porte,opcao_pelo_simples,data_opcao_pelo_simples,data_exclusao_do_simples,opcao_pelo_mei,situacao_especial,data_situacao_especial,telefone_completo_1,telefone_completo_2,endereco,municipio,tel_maps,site,whatsapp,instagram,facebook,email_site,score,status,socios,tel_opencnpj,email_opencnpj,site_google,atualizado_em
00000000017590,2,BANCO DO BRASIL SA,SAO JOSE DOS CAMPOS (SP),2,2005-11-03,0,,,,2038,1966-08-01,6422100,AVENIDA,DOUTOR NELSON D'AVILA,149,ANDAR TERREO,JARDIM SAO DIMAS,12245030,SP,7099,SAO JOSE DOS CAMPOS,12  40099200,12  40033001,12  40034001,AGE0175@BB.COM.BR,10,0.00,05,0,,,0,,,,,"DOUTOR NELSON D'AVILA, 149 — JARDIM SAO DIMAS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000303682,2,BANCO DO BRASIL SA,XV DE NOVEMBRO-SAO JOSE DOS CAMPOS-SP,2,2005-11-03,0,,,,2038,1991-04-12,6421200,RUA,XV DE NOVEMBRO,294,,CENTRO,12210070,SP,7099,SAO JOSE DOS CAMPOS,,,,,10,0.00,05,0,,,0,,,,,"XV DE NOVEMBRO, 294 — CENTRO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000339954,2,BANCO DO BRASIL SA,JARDIM SATELITE - SAO JOSE DOS CAMPOS (SP),2,2005-11-03,0,,,,2038,1988-02-10,6422100,AVENIDA,ANDROMEDA,693,,JARDIM SATELITE,12230000,SP,7099,SAO JOSE DOS CAMPOS,,,,,10,0.00,05,0,,,0,,,,,"ANDROMEDA, 693 — JARDIM SATELITE",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000399698,2,BANCO DO BRASIL SA,CASTEJON - SAO JOSE DOS CAMPOS (SP),2,2005-11-03,0,,,,2038,1991-06-12,6422100,PRACA,CANDIDO DIAS CASTEJON,73,,CENTRO,12245720,SP,7099,SAO JOSE DOS CAMPOS,,,,,10,0.00,05,0,,,0,,,,,"CANDIDO DIAS CASTEJON, 73 — CENTRO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000460869,2,BANCO DO BRASIL SA,SERET - SAO JOSE DOS CAMPOS (SP),2,2005-11-03,0,,,,2038,1999-04-01,6422100,AVENIDA,DOUTOR NELSON D'AVILA,149,,JARDIM SAO DIMAS,12245030,SP,7099,SAO JOSE DOS CAMPOS,12  40099293,12  40099290,12  40099292,SERET.SJCAMPOS@BB.COM.BR,10,0.00,05,0,,,0,,,,,"DOUTOR NELSON D'AVILA, 149 — JARDIM SAO DIMAS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000475548,2,BANCO DO BRASIL SA,EMBRAER (SP),2,2005-11-03,0,,,,2038,2000-05-11,6422100,AVENIDA,BRIGADEIRO FARIA LIMA,2170,CONJ  F68,JD. DA GRANJA,12227901,SP,7099,SAO JOSE DOS CAMPOS,12  39271270,,12  39213675,age2558@bb.com.br,10,0.00,05,0,,,0,,,,,"BRIGADEIRO FARIA LIMA, 2170 — JD. DA GRANJA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000475629,2,BANCO DO BRASIL SA,NELSON D'AVILA - SAO JOSE DOS CAMPOS (SP),2,2005-11-03,0,,,,2038,2000-05-12,6422100,AVENIDA,DR. NELSON D'AVILA,149,1.ANDAR,CENTRO,12245030,SP,7099,SAO JOSE DOS CAMPOS,,,,,10,0.00,05,0,,,0,,,,,"DR. NELSON D'AVILA, 149 — CENTRO",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000506443,2,BANCO DO BRASIL SA,ESCRIT. CORPORATE BANKING - VALE DO PARAIBA (SP),2,2005-11-03,0,,,,2038,2002-05-27,6422100,AVENIDA,SAO JOAO,938,,JARDIM ESPLANADA,12242840,SP,7099,SAO JOSE DOS CAMPOS,12  39477700,12  39258200,12  39477722,,10,0.00,05,0,,,0,,,,,"SAO JOAO, 938 — JARDIM ESPLANADA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000571776,2,BANCO DO BRASIL SA,ESCRIT. DE NEG. EXCLUSIVO - SAO JOSE DOS CAMPOS (SP),2,2005-11-03,0,,,,2038,2004-12-14,6422100,AVENIDA,DOUTOR NELSON D'AVILA,149,ANDAR 2,JARDIM SAO DIMAS,12245030,SP,7099,SAO JOSE DOS CAMPOS,12  40099250,12  40033001,12  39024731,AGE4702@BB.COM.BR,10,0.00,05,0,,,0,,,,,"DOUTOR NELSON D'AVILA, 149 — JARDIM SAO DIMAS",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
00000000586536,2,BANCO DO BRASIL SA,ESTILO SAO JOSE DOS CAMPOS,2,2007-07-13,0,,,,2038,2007-07-13,6422100,AVENIDA,BARAO DO RIO BRANCO,1178,,JARDIM ESPLANADA,12242800,SP,7099,SAO JOSE DOS CAMPOS,12  39134848,12  39131060,,age4858@bb.com.br,10,0.00,05,0,,,0,,,,,"BARAO DO RIO BRANCO, 1178 — JARDIM ESPLANADA",SAO JOSE DOS CAMPOS,,,,,,,,pendente,,,,,2026-04-15T16:02:21.245798
